Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,4.894500,4.987500,4.862500,4.983750,4.930642,355616000
2018-01-03,5.102500,5.342500,5.093750,5.311750,5.255148,914704000
2018-01-04,5.394000,5.451250,5.317250,5.339750,5.282850,583268000
2018-01-05,5.354750,5.422750,5.277000,5.385000,5.327616,580124000
2018-01-08,5.510000,5.625000,5.464500,5.550000,5.490858,881216000
2018-01-09,5.555500,5.595500,5.466000,5.548500,5.489375,497000000
2018-01-10,5.455000,5.595500,5.400000,5.592000,5.532411,582664000
2018-01-11,5.625000,5.656750,5.580250,5.602000,5.542305,406032000
2018-01-12,5.590000,5.624750,5.533500,5.574500,5.515097,359916000
2018-01-16,5.601250,5.687750,5.417250,5.502750,5.444113,702348000
2018-01-17,5.517500,5.628000,5.422500,5.618000,5.558134,538408000
2018-01-18,5.598500,5.666000,5.567000,5.611000,5.551208,408632000
2018-01-19,5.702250,5.777250,5.675000,5.752750,5.691447,609380000
2018-01-22,5.760750,5.844000,5.702500,5.842250,5.779995,550944000
2018-01-23,5.896250,5.995750,5.877500,5.972750,5.909103,475228000
2018-01-24,5.976000,6.012250,5.838750,5.895000,5.832182,579972000
2018-01-25,5.950000,5.993750,5.893750,5.908750,5.845786,409884000
2018-01-26,5.953000,6.083500,5.940000,6.083250,6.018427,516356000
2018-01-29,6.068500,6.202750,6.015250,6.171250,6.105488,455116000
2018-01-30,6.027750,6.160500,5.960250,6.068000,6.003338,570832000
2018-01-31,6.144250,6.231750,6.111250,6.145000,6.079518,478576000
2018-02-01,5.963000,6.172500,5.951500,6.012500,5.948429,519224000
2018-02-02,5.925000,5.949250,5.779250,5.838000,5.775788,718464000
2018-02-05,5.675000,5.830750,5.125000,5.342500,5.285569,1165204000
2018-02-06,5.110000,5.642500,5.100000,5.639500,5.579404,1114800000
2018-02-07,5.739500,5.874250,5.667500,5.720000,5.659047,802932000
2018-02-08,5.847000,5.880500,5.437750,5.438000,5.380052,1144000000
2018-02-09,5.956250,5.972250,5.438000,5.802000,5.740174,1674604000
2018-02-12,5.884000,5.887000,5.625750,5.700750,5.640003,1093172000
2018-02-13,5.664000,5.862500,5.631250,5.815750,5.753776,625524000
2018-02-14,5.775000,6.064750,5.763750,6.035500,5.971185,744988000
2018-02-15,6.119750,6.209250,6.038000,6.162500,6.096833,698900000
2018-02-16,6.135000,6.250000,6.086750,6.096000,6.031040,637656000
2018-02-20,6.118750,6.296750,6.115000,6.227000,6.160644,686240000
2018-02-21,6.292250,6.299250,6.034000,6.037750,5.973410,892292000
2018-02-22,6.068250,6.140750,5.987500,6.053750,5.992962,534364000
2018-02-23,6.114250,6.148250,6.063000,6.148250,6.086515,415300000
2018-02-26,6.195000,6.199500,6.101500,6.164500,6.102601,469312000
2018-02-27,6.137500,6.222750,6.128250,6.151500,6.089730,455436000
2018-02-28,6.162500,6.202500,6.038250,6.050000,5.989250,523116000
2018-03-01,6.047750,6.102250,5.703000,5.805250,5.746956,1040120000
2018-03-02,5.696500,5.920000,5.546250,5.913500,5.854122,913428000
2018-03-05,5.862750,5.931250,5.738000,5.891250,5.832095,620776000
2018-03-06,5.977500,6.073500,5.934000,6.054000,5.993210,636808000
2018-03-07,5.950000,6.098750,5.948750,6.046000,5.985291,581208000
2018-03-08,6.073750,6.073750,5.984750,6.029500,5.968956,411912000
2018-03-09,6.077500,6.146250,6.061250,6.133250,6.071663,505524000
2018-03-12,6.175000,6.325000,6.166750,6.244000,6.181303,605060000
2018-03-13,6.287250,6.362500,6.151000,6.192750,6.130567,619772000
2018-03-14,6.236250,6.263750,6.155500,6.218500,6.156059,505496000
2018-03-15,6.232250,6.315500,6.191000,6.233500,6.170907,401952000
2018-03-16,6.250000,6.281250,6.212000,6.262000,6.199121,399456000
2018-03-19,6.204500,6.233750,5.925000,6.025000,5.964502,713772000
2018-03-20,6.028000,6.278750,6.028000,6.239500,6.176847,554696000
2018-03-21,6.233000,6.300000,6.183250,6.214000,6.151604,438688000
2018-03-22,6.150000,6.197000,6.008500,6.046250,5.985539,551196000
2018-03-23,6.060000,6.062500,5.813000,5.824250,5.765769,735620000
2018-03-26,5.950000,6.113250,5.897500,6.112000,6.050628,611424000
2018-03-27,6.193750,6.250000,5.496250,5.638000,5.581388,1409000000
2018-03-28,5.603250,5.734750,5.425000,5.533750,5.478184,945904000
2018-03-29,5.602750,5.887500,5.517500,5.789750,5.731614,916628000
2018-04-02,5.718500,5.866250,5.437500,5.526250,5.470758,922092000
2018-04-03,5.695000,5.758750,5.533750,5.633750,5.577180,667432000
2018-04-04,5.375250,5.666500,5.350000,5.656000,5.599206,789168000
2018-04-05,5.715000,5.728250,5.462250,5.534500,5.478927,701240000
2018-04-06,5.430750,5.540000,5.326750,5.356250,5.302467,662988000
2018-04-09,5.420000,5.549250,5.365000,5.385250,5.331175,499524000
2018-04-10,5.618000,5.725000,5.560250,5.697750,5.640537,761676000
2018-04-11,5.682750,5.724500,5.623000,5.656000,5.599206,460244000
2018-04-12,5.750000,5.883000,5.705250,5.865000,5.806107,593920000
2018-04-13,5.929250,5.937750,5.738750,5.787500,5.729387,503036000
2018-04-16,5.794250,5.821000,5.692000,5.787250,5.729139,350792000
2018-04-17,5.840000,5.960000,5.783750,5.938500,5.878870,447224000
