Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10.980000,11.040000,10.940000,11.030000,8.598934,2479500
2018-01-03,10.960000,11.010000,10.930000,10.990000,8.567749,2092900
2018-01-04,11.030000,11.090000,11.030000,11.050000,8.614526,2435100
2018-01-05,10.970000,10.970000,10.750000,10.770000,8.396239,3402800
2018-01-08,10.810000,10.870000,10.780000,10.840000,8.450810,2317800
2018-01-09,10.860000,10.940000,10.860000,10.910000,8.505382,1761300
2018-01-10,10.920000,10.960000,10.850000,10.860000,8.466403,3132500
2018-01-11,10.600000,10.710000,10.530000,10.680000,8.326074,5898500
2018-01-12,10.650000,10.750000,10.630000,10.750000,8.380647,2871900
2018-01-16,10.950000,11.020000,10.910000,10.960000,8.544362,3476000
2018-01-17,10.960000,11.090000,10.900000,11.050000,8.614526,2048100
2018-01-18,11.010000,11.100000,10.990000,11.070000,8.630116,1750000
2018-01-19,11.080000,11.160000,11.050000,11.140000,8.684690,2155300
2018-01-22,11.610000,11.750000,11.570000,11.740000,9.152446,5506600
2018-01-23,11.710000,11.740000,11.660000,11.740000,9.152446,3499700
2018-01-24,11.900000,11.970000,11.790000,11.860000,9.245996,3428500
2018-01-25,12.020000,12.020000,11.830000,11.860000,9.245996,3514500
2018-01-26,11.930000,11.960000,11.860000,11.910000,9.284975,2246900
2018-01-29,11.700000,11.750000,11.640000,11.690000,9.113465,2292900
2018-01-30,11.380000,11.430000,11.310000,11.390000,8.879587,2803800
2018-01-31,11.330000,11.450000,11.320000,11.370000,8.863996,2859200
2018-02-01,11.260000,11.360000,11.220000,11.360000,8.856197,3299400
2018-02-02,11.180000,11.190000,10.950000,10.970000,8.552157,2663600
2018-02-05,10.880000,10.960000,10.430000,10.520000,8.201340,5402400
2018-02-06,10.410000,10.750000,10.380000,10.700000,8.341667,6606600
2018-02-07,10.680000,10.780000,10.540000,10.620000,8.279298,5362900
2018-02-08,11.070000,11.070000,10.670000,10.690000,8.333871,13125400
2018-02-09,10.710000,10.830000,10.410000,10.750000,8.380647,9154100
2018-02-12,10.780000,10.830000,10.650000,10.800000,8.419627,7745700
2018-02-13,10.790000,10.860000,10.760000,10.850000,8.458606,4221400
2018-02-14,10.770000,11.130000,10.760000,11.130000,8.676893,5199100
2018-02-15,11.250000,11.280000,11.140000,11.270000,8.786036,4377600
2018-02-16,11.140000,11.360000,11.140000,11.330000,8.832811,4679900
2018-02-20,11.300000,11.360000,11.250000,11.280000,8.793830,3950200
2018-02-21,11.280000,11.440000,11.280000,11.330000,8.832811,3336900
2018-02-22,11.790000,11.830000,11.640000,11.680000,9.105670,4974800
2018-02-23,11.780000,11.800000,11.650000,11.720000,9.136855,4012000
2018-02-26,11.750000,11.750000,11.610000,11.720000,9.136855,3528400
2018-02-27,11.730000,11.830000,11.720000,11.720000,9.136855,3884900
2018-02-28,11.880000,11.920000,11.730000,11.750000,9.160241,4018100
2018-03-01,11.660000,11.680000,11.480000,11.570000,9.105936,4351200
2018-03-02,11.360000,11.520000,11.270000,11.520000,9.066585,4389200
2018-03-05,11.360000,11.670000,11.320000,11.620000,9.145288,4840600
2018-03-06,11.810000,11.900000,11.780000,11.860000,9.334175,2735400
2018-03-07,11.760000,11.830000,11.670000,11.810000,9.294823,3678700
2018-03-08,11.820000,11.850000,11.750000,11.850000,9.326304,4344600
2018-03-09,11.730000,11.810000,11.720000,11.770000,9.263344,2948600
2018-03-12,11.800000,11.920000,11.770000,11.870000,9.342047,2900300
2018-03-13,11.850000,11.860000,11.730000,11.760000,9.255471,2277400
2018-03-14,11.710000,11.730000,11.610000,11.650000,9.168897,5336600
2018-03-15,11.590000,11.740000,11.570000,11.660000,9.176770,4053500
2018-03-16,11.730000,11.830000,11.720000,11.760000,9.255471,4045300
2018-03-19,12.430000,12.470000,12.220000,12.330000,9.704078,5569700
2018-03-20,12.250000,12.280000,12.170000,12.200000,9.601764,2666300
2018-03-21,12.150000,12.160000,11.940000,12.070000,9.499451,2674500
2018-03-22,11.830000,11.880000,11.690000,11.730000,9.231861,4430100
2018-03-23,11.740000,11.750000,11.580000,11.590000,9.121678,6314600
2018-03-26,11.890000,11.970000,11.780000,11.970000,9.420749,4142200
2018-03-27,11.910000,11.910000,11.640000,11.700000,9.208251,7929000
2018-03-28,11.720000,11.810000,11.650000,11.760000,9.255471,4256500
2018-03-29,11.760000,11.860000,11.710000,11.820000,9.302693,6197400
2018-04-02,11.830000,11.860000,11.600000,11.680000,9.192509,4498500
2018-04-03,11.820000,11.880000,11.720000,11.850000,9.326304,3695900
2018-04-04,11.740000,11.960000,11.740000,11.930000,9.389268,3928900
2018-04-05,11.950000,12.070000,11.950000,12.030000,9.467970,2489900
2018-04-06,12.000000,12.060000,11.850000,11.900000,9.365657,2083500
2018-04-09,11.990000,12.160000,11.960000,12.010000,9.452231,2041700
2018-04-10,12.250000,12.320000,12.220000,12.290000,9.672599,1700000
2018-04-11,12.280000,12.350000,12.250000,12.260000,9.648986,1643800
2018-04-12,12.320000,12.470000,12.320000,12.450000,9.798524,1499300
2018-04-13,12.540000,12.550000,12.160000,12.210000,9.609635,4282300
2018-04-16,12.380000,12.430000,12.310000,12.330000,9.704078,3091500
2018-04-17,12.320000,12.330000,12.160000,12.190000,9.593895,2828100
2018-04-18,12.260000,12.310000,12.200000,12.220000,9.617507,1722000
2018-04-19,12.320000,12.400000,12.230000,12.270000,9.656857,2240500
2018-04-20,12.200000,12.270000,12.170000,12.220000,9.617507,1628800
2018-04-23,12.180000,12.250000,12.130000,12.210000,9.609635,1354900
2018-04-24,12.170000,12.240000,12.060000,12.100000,9.523063,2212700
2018-04-25,12.030000,12.060000,11.950000,12.000000,9.444358,2198100
2018-04-26,11.810000,11.910000,11.790000,11.850000,9.326304,3115900
2018-04-27,11.690000,11.710000,11.560000,11.700000,9.208251,2815100
2018-04-30,11.560000,11.630000,11.540000,11.540000,9.082327,3665100
2018-05-01,11.410000,11.410000,11.340000,11.410000,8.980012,2433700
2018-05-02,11.350000,11.420000,11.320000,11.350000,8.932791,2747600
2018-05-03,11.300000,11.320000,11.100000,11.240000,8.846217,2809400
2018-05-04,11.190000,11.380000,11.180000,11.360000,8.940659,3260300
2018-05-07,11.350000,11.440000,11.340000,11.430000,8.995752,1504900
2018-05-08,11.300000,11.390000,11.290000,11.380000,8.956403,2143000
2018-05-09,11.560000,11.700000,11.550000,11.680000,9.192509,2219400
2018-05-10,11.680000,11.770000,11.620000,11.760000,9.255471,1414500
2018-05-11,11.800000,11.820000,11.760000,11.770000,9.263344,1240300
2018-05-14,11.720000,11.740000,11.680000,11.690000,9.200378,1555100
2018-05-15,11.580000,11.650000,11.550000,11.570000,9.105936,1723800
2018-05-16,11.480000,11.510000,11.430000,11.470000,9.027235,1933000
2018-05-17,11.440000,11.510000,11.410000,11.460000,9.019363,3268100
2018-05-18,11.430000,11.450000,11.330000,11.390000,8.964271,1810900
2018-05-21,11.400000,11.430000,11.380000,11.410000,8.980012,961100
2018-05-22,11.530000,11.540000,11.470000,11.490000,9.042974,2166900
2018-05-23,11.360000,11.380000,11.220000,11.330000,8.917050,1770100
2018-05-24,11.210000,11.230000,11.110000,11.180000,8.798994,2205100
2018-05-25,11.010000,11.170000,11.000000,11.160000,8.783254,2419600
