combination_number,pop_size,gen_count,mut_rate,sharpe_ratio,best_portfolio_weights
1,150,200,0.15,0.22101730345876028,"[0.0, 0.08939763060259757, 0.01759843384193586, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.034426362676799924, 0.0, 0.0, 0.0, 0.40898814365302755, 0.1488499143338589, 0.0, 0.0892309211514159, 0.03327319764271444, 0.17823539609764977]"
2,150,200,0.2,0.21925571955386092,"[0.0, 0.06657605521615026, 0.0, 0.0, 0.06030376664045797, 0.0, 0.0, 0.0, 0.008920154432807676, 0.05554033263468084, 0.0031323370459158313, 0.0, 0.0, 0.012148499352620237, 0.5312343404504144, 0.0671090947807171, 0.0, 0.0, 0.042339980271421176, 0.15269543917481435]"
3,150,200,0.6,0.22502810479580915,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.40725328407814265, 0.19717033574456225, 0.0, 0.0, 0.0, 0.395576380177295]"
4,150,500,0.15,0.22795819669917647,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025510785654804722, 0.0, 0.652129249800788, 0.0, 0.0, 0.05695663567716406, 0.0, 0.26540332886724316]"
5,150,500,0.2,0.22461318724949458,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14431357773284717, 0.0, 0.0, 0.03474067252247616, 0.0, 0.0, 0.495064799773354, 0.2790423084339248, 0.0, 0.0, 0.0, 0.04683864153739787]"
6,150,500,0.6,0.2331081425141694,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.013674281231095218, 0.0, 0.0, 0.5424739215655529, 0.1598903759439868, 0.0, 0.0, 0.016258044537074544, 0.26770337672229066]"
7,150,1000,0.15,0.23060747700557443,"[0.0, 0.0, 0.0036070662977742843, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2638762716830974, 0.0, 0.02883272722791904, 0.0, 0.0, 0.0, 0.5901547234341371, 0.10540540927164319, 0.0, 0.0, 0.0, 0.008123802085428934]"
8,150,1000,0.2,0.2401866883926269,"[0.0, 0.06279353545349574, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.691994461099819, 0.048044987954054805, 0.0, 0.0, 0.0, 0.19716701549263044]"
9,150,1000,0.6,0.22499960659545934,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.11348488182539854, 0.0, 0.03461778810605646, 0.0, 0.0, 0.0, 0.34569799630533626, 0.25642857006883574, 0.0, 0.0363575761649938, 0.045128941147477925, 0.16828424638190134]"
10,200,200,0.15,0.23402187845128278,"[0.0, 0.09163673955249857, 0.0, 0.0, 0.029173007004794606, 0.0, 0.0, 0.0017218872437655122, 0.12731866891904745, 0.0, 0.0, 0.0025296916416170647, 0.0, 0.0, 0.7255022624258125, 0.0, 0.0, 0.0, 0.0, 0.022117743212464316]"
