combination_number,pop_size,gen_count,mut_rate,sharpe_ratio
1,50,50,0.01,0.23348533080002304
2,50,50,0.05,0.2267334202529587
3,50,50,0.1,0.22281897103200288
4,50,50,0.15,0.2203312769477262
5,50,50,0.2,0.219461880211298
6,50,100,0.01,0.2460990633005997
7,50,100,0.05,0.23853663566105315
8,50,100,0.1,0.23738685399819842
9,50,100,0.15,0.21977236844234818
10,50,100,0.2,0.2239175441846182
11,50,150,0.01,0.24925043219671303
12,50,150,0.05,0.2417240210448803
13,50,150,0.1,0.22996260973379473
14,50,150,0.15,0.2377522416500777
15,50,150,0.2,0.2348615479047158
16,50,200,0.01,0.2514417997476008
17,50,200,0.05,0.242897099060557
18,50,200,0.1,0.23384084191266677
19,50,200,0.15,0.23708698705555703
20,50,200,0.2,0.22464997197542913
21,50,250,0.01,0.25077641898431513
22,50,250,0.05,0.2441990788179135
23,50,250,0.1,0.24340335277152295
24,50,250,0.15,0.24326974535888835
25,50,250,0.2,0.2379180262440794
26,50,300,0.01,0.2565059044753194
27,50,300,0.05,0.2433224570438779
28,50,300,0.1,0.24138154141052381
29,50,300,0.15,0.25565960774786606
30,50,300,0.2,0.23064421616362457
31,100,50,0.01,0.22552851106425353
32,100,50,0.05,0.23252185787344917
33,100,50,0.1,0.22312607838559878
34,100,50,0.15,0.22307609019030136
35,100,50,0.2,0.21570468448142988
36,100,100,0.01,0.24549522541679494
37,100,100,0.05,0.2394071596896921
38,100,100,0.1,0.23013899438370997
39,100,100,0.15,0.23723461784570124
40,100,100,0.2,0.23300971514519375
41,100,150,0.01,0.2555370980689661
42,100,150,0.05,0.2443599092550059
43,100,150,0.1,0.23842634408181157
44,100,150,0.15,0.223113432438755
45,100,150,0.2,0.2224535014022342
46,100,200,0.01,0.250379338370353
47,100,200,0.05,0.25130502197653665
48,100,200,0.1,0.2380590357953119
49,100,200,0.15,0.23372015474949082
50,100,200,0.2,0.2516354752670621
51,100,250,0.01,0.25113486233914734
52,100,250,0.05,0.24599347964465962
53,100,250,0.1,0.24200153491421322
54,100,250,0.15,0.23928977513229216
55,100,250,0.2,0.23659872808293544
56,100,300,0.01,0.25443219734154804
57,100,300,0.05,0.2437393339996862
58,100,300,0.1,0.24519674461993793
59,100,300,0.15,0.2401733708050505
60,100,300,0.2,0.2362754622736363
61,150,50,0.01,0.23950949179984937
62,150,50,0.05,0.23645058512788975
63,150,50,0.1,0.22451768751949433
64,150,50,0.15,0.23488620952888206
65,150,50,0.2,0.22981154189026917
66,150,100,0.01,0.24948227135714413
67,150,100,0.05,0.24084215640290407
68,150,100,0.1,0.22818202040479316
69,150,100,0.15,0.24077611743596347
70,150,100,0.2,0.23046944015405596
71,150,150,0.01,0.24962503295840785
72,150,150,0.05,0.23871526919671412
73,150,150,0.1,0.24168654026524677
74,150,150,0.15,0.23851401306125433
75,150,150,0.2,0.2392833778167562
76,150,200,0.01,0.25134697549721335
77,150,200,0.05,0.24659574255912664
78,150,200,0.1,0.23394722097665016
79,150,200,0.15,0.2418656559969553
80,150,200,0.2,0.24198770104909828
81,150,250,0.01,0.2571995018244982
82,150,250,0.05,0.2498845833252817
83,150,250,0.1,0.2431595181961417
84,150,250,0.15,0.23866982820489838
85,150,250,0.2,0.24263501293812256
86,150,300,0.01,0.25545782661315775
87,150,300,0.05,0.25001224721874266
88,150,300,0.1,0.2459940740740972
89,150,300,0.15,0.23471931631252685
90,150,300,0.2,0.23405840450908186
91,200,50,0.01,0.24257678611497907
92,200,50,0.05,0.2343989294451444
93,200,50,0.1,0.226787674664398
94,200,50,0.15,0.22313218582687827
95,200,50,0.2,0.22802081958538686
96,200,100,0.01,0.24860070725180597
97,200,100,0.05,0.2411158197773912
98,200,100,0.1,0.24040483435441992
99,200,100,0.15,0.2297120965500659
100,200,100,0.2,0.23346913710221376
101,200,150,0.01,0.2560705677887681
102,200,150,0.05,0.24812300137169588
103,200,150,0.1,0.23192056012120124
104,200,150,0.15,0.232621869616868
105,200,150,0.2,0.2399997578905555
106,200,200,0.01,0.25607188729962044
107,200,200,0.05,0.2480322024132192
108,200,200,0.1,0.24613595971681645
109,200,200,0.15,0.23994947396589492
110,200,200,0.2,0.23134775164369042
111,200,250,0.01,0.25505859787380836
112,200,250,0.05,0.25108872568591256
113,200,250,0.1,0.2511286141079333
114,200,250,0.15,0.240137984144536
115,200,250,0.2,0.2331822353146506
116,200,300,0.01,0.2605845547757391
117,200,300,0.05,0.252486612133078
118,200,300,0.1,0.24124803621289614
119,200,300,0.15,0.23876801120578875
120,200,300,0.2,0.24124004220530465
121,250,50,0.01,0.23637331680954501
122,250,50,0.05,0.23398513398291607
123,250,50,0.1,0.22885317086430415
124,250,50,0.15,0.23486612820884006
125,250,50,0.2,0.22717993798983857
126,250,100,0.01,0.2529045230190241
127,250,100,0.05,0.23824997430077502
128,250,100,0.1,0.23389858058146062
129,250,100,0.15,0.23193207129609109
130,250,100,0.2,0.23070022566861664
131,250,150,0.01,0.2571043918992302
132,250,150,0.05,0.24487594860066153
133,250,150,0.1,0.23695207921457784
134,250,150,0.15,0.23365805330419703
135,250,150,0.2,0.2359242004026784
136,250,200,0.01,0.2564504675275831
137,250,200,0.05,0.24571223609848905
138,250,200,0.1,0.25032529584211255
139,250,200,0.15,0.23966736856040843
140,250,200,0.2,0.23038913354850388
141,250,250,0.01,0.2642147905504433
142,250,250,0.05,0.2531868450256563
143,250,250,0.1,0.2416194390769233
144,250,250,0.15,0.23892669390308108
145,250,250,0.2,0.24075715293578123
146,250,300,0.01,0.26059221486492495
147,250,300,0.05,0.25162039463886005
148,250,300,0.1,0.24906316751836902
149,250,300,0.15,0.24059743840462572
150,250,300,0.2,0.2519621771271398
151,300,50,0.01,0.23528264317750536
152,300,50,0.05,0.23834041948181509
153,300,50,0.1,0.22882785066815414
154,300,50,0.15,0.23666865867735293
155,300,50,0.2,0.22961402077177984
156,300,100,0.01,0.24897742317097815
157,300,100,0.05,0.2460309886469664
158,300,100,0.1,0.23883348483554578
159,300,100,0.15,0.23442417166736162
160,300,100,0.2,0.24316273909387634
161,300,150,0.01,0.256999365649829
162,300,150,0.05,0.24305811452256454
163,300,150,0.1,0.24062432163342487
164,300,150,0.15,0.2390507534041432
165,300,150,0.2,0.23717922004513686
166,300,200,0.01,0.2556986773908556
167,300,200,0.05,0.2491620594885223
168,300,200,0.1,0.2503667302519822
169,300,200,0.15,0.2374108027734502
170,300,200,0.2,0.2351311667328577
171,300,250,0.01,0.2619367486479549
172,300,250,0.05,0.2508931629400623
173,300,250,0.1,0.2446250727289322
174,300,250,0.15,0.24291655071278723
175,300,250,0.2,0.24068104130767898
176,300,300,0.01,0.26030436785534444
177,300,300,0.05,0.25228386829295907
178,300,300,0.1,0.24540294676441535
179,300,300,0.15,0.2518287173267455
180,300,300,0.2,0.24360434301572856
