combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
1,20,50,0.01,0.1,0.23418197685846145,"[0.0, 0.0, 0.010331674569156936, 0.0016828597559502786, 0.0, 0.009832400272287588, 0.0, 0.0, 0.0, 0.0, 0.028477568804516323, 0.0, 0.013309825786091873, 0.0, 0.5783061846463129, 0.20321359716922371, 0.0, 0.0, 0.0, 0.15484588899646032]"
2,20,50,0.01,0.3,0.20242129221067737,"[0.0003020191524429467, 0.00015535185063594886, 0.0, 0.010917588521088137, 0.0, 0.0, 0.0, 0.0, 0.00211813168959737, 0.0, 0.0, 0.008366248731224928, 0.0, 0.0, 0.5667690284588212, 0.04317567622608515, 0.02147119106311168, 0.01182693086448735, 0.2106759056965406, 0.12422192774596479]"
3,20,50,0.01,0.5,0.21408800789337662,"[0.0, 0.07247755084281579, 0.0, 0.0, 0.0, 0.019897272725646984, 0.005661035632476658, 0.0, 0.0242849688617717, 0.004624742058944206, 0.0, 0.0, 0.0, 0.0, 0.20415580327759775, 0.25680899073920477, 0.0, 0.02834461499289053, 0.00209729491506285, 0.38164772595358865]"
4,20,50,0.05,0.1,0.21763663055752208,"[0.017544222373980747, 0.0, 0.014562271887184756, 0.012216041193985366, 0.04836737278820712, 0.0, 0.013264328476682604, 0.0, 0.13035157381589674, 0.004071978115877617, 0.0, 0.0, 0.0010956480723883874, 0.012243997031395702, 0.647029012801292, 0.021676112370088506, 0.005982693168868255, 0.010150186621268951, 0.007584304854943544, 0.053860256427939686]"
5,20,50,0.05,0.3,0.2200662574532161,"[0.0321482624168655, 0.0, 0.0, 0.004948063647381086, 0.012282286670458376, 0.0, 0.0, 0.0, 0.019575445222939632, 0.0, 0.0, 0.0046700511207607145, 0.0, 0.0, 0.3513086303777833, 0.30029295935733635, 0.0, 0.0, 0.0, 0.274774301186475]"
6,20,50,0.05,0.5,0.23333941212372733,"[0.015247856622053387, 0.0029808497746392154, 0.0, 0.0, 0.0, 0.0, 0.0, 0.008235724970353232, 0.015675260601465697, 0.0, 0.0, 0.0, 0.0, 0.0, 0.627762881548964, 0.2035645593274805, 0.0, 0.037667275304045324, 0.0, 0.08886559185099867]"
7,20,50,0.1,0.1,0.216034657599144,"[0.0, 0.0, 0.0, 0.0, 0.07376545651563132, 0.0, 0.0, 0.061017869709619685, 0.03975021093969409, 0.011675048334292802, 0.0, 0.0, 0.0, 0.0, 0.7748356313161576, 0.03838052266556634, 0.0005752605190380576, 0.0, 0.0, 0.0]"
8,20,50,0.1,0.3,0.2423978030506657,"[0.0035348355493999848, 0.0028628164208459486, 0.003214207339207844, 0.0033747221121303043, 0.006100366480072959, 0.0, 0.0006449207799245692, 0.0, 0.003470330575442374, 0.0, 0.01107453957650578, 0.0, 0.00034037116404297095, 0.004945661574784598, 0.8564271597573075, 0.024100722770230752, 0.0, 0.010990359317830744, 0.0031298415416690186, 0.06578914504060464]"
9,20,50,0.1,0.5,0.24122455305696366,"[0.000910993129027177, 0.005015131045314935, 0.0, 0.02633728730885001, 0.0007952423041314437, 0.0, 0.011443548651296067, 0.0015141402054802688, 0.04332690526977843, 0.0, 0.002240480494989909, 0.0016370788476318867, 0.0017361150086647559, 0.0009369805088452296, 0.7842659242967855, 0.01143015511146323, 0.00014918755262839173, 0.00022703730342541495, 0.0061749581357467, 0.10185883482594074]"
10,20,50,0.01,0.1,0.21881648627564781,"[0.0, 0.011074983218477745, 0.0, 0.0009667020484093223, 0.03189859400587775, 0.039644108446454294, 0.0, 0.0008320089215715734, 0.15070376273821107, 0.0, 0.0, 0.0, 0.0010567416067745865, 0.0, 0.25743590223230434, 0.25743590223230434, 0.0, 0.0, 0.0, 0.24895129454961507]"
