combination_number,pop_size,gen_count,mut_rate,sharpe_ratio,best_portfolio_weights
1,20,50,0.01,0.1204670299357005,"[0.018607712938543904, 0.060862332988027616, 0.05023221986751502, 0.007233245399325361, 0.028091570561691176, 0.02311932784965247, 0.058768655759625525, 0.0975673133775061, 0.06432206770809143, 0.026300609510854396, 0.06542215189927533, 0.050813802248627894, 0.054818501633223486, 0.05325673978296214, 0.04360761000226487, 0.10161467931714177, 0.0027869684916587796, 0.06379197530912004, 0.05225925590044518, 0.07652325945444745]"
2,20,50,0.05,0.15496669321160284,"[0.05273649008077896, 0.0, 0.04719893245326667, 0.0, 0.027430784490026842, 0.0, 0.04175329872156761, 0.0, 0.10601081303391274, 0.03190216077919847, 0.15966197644296937, 0.0, 0.07529460103309553, 0.02802154047313619, 0.12081165529981261, 0.06376544888558187, 0.0, 0.0, 0.09196704806914151, 0.1534452502375116]"
3,20,50,0.1,0.16538703357063392,"[0.0, 0.06865376219279826, 0.08900801277349057, 0.0, 0.027348226773267325, 0.0, 0.02388971990377079, 0.0, 0.044635438085886055, 0.07095528494153508, 0.09505052742007553, 0.011916357532194857, 0.0, 0.011144037374011853, 0.10676388279751518, 0.08317461240414947, 0.05083790633567354, 0.015227876479563326, 0.11085207840564346, 0.19054227658042464]"
4,20,100,0.01,0.10686454417265241,"[0.05943393828013879, 0.05650884529297842, 0.016565078508595194, 0.0692065499826312, 0.07312614478766012, 0.043868572904613, 0.014073959254541529, 0.010697493861976267, 0.06679872631661242, 0.04516787576237141, 0.08855158993231833, 0.054639937030511135, 0.019328269591660785, 0.004899108839102247, 0.05316394880970273, 0.035096185713751914, 0.05786313666326585, 0.07606311502566457, 0.06030001850326735, 0.09464750493863675]"
5,20,100,0.05,0.16253570286146,"[0.0, 0.09966666313019676, 0.0, 0.08006555994713299, 0.024145456683019848, 0.0, 0.1415775596094354, 0.0, 0.03080736762595802, 0.05587468927088131, 0.0, 0.04574486531705885, 0.08521220349071525, 0.0, 0.13537236231220628, 0.10536566668013804, 0.0, 0.0021660026963952563, 0.0, 0.1940016032368619]"
6,20,100,0.1,0.19859859456775328,"[0.0, 0.009465014995784327, 0.04892867330136561, 0.0, 0.0, 0.020365328006357025, 0.0, 0.007566697197651863, 0.227523828411308, 0.0, 0.013061941885993699, 0.08272190103504136, 0.0, 0.0, 0.25566312456112067, 0.08417200965849786, 0.0, 0.013178891735516611, 0.0025148715645231063, 0.23483771764683986]"
7,20,200,0.01,0.12313921790175487,"[0.03226205441397628, 0.07234812556445092, 0.0828969548835379, 0.031826125503486416, 0.03508075299517258, 0.00810424795968901, 0.030425349771065743, 0.06536395047777731, 0.06342106697197136, 0.06303494765738711, 0.06529243980675978, 0.032892725120208945, 0.016022874528765635, 0.021219870645938846, 0.0797705224629579, 0.059901612456171864, 0.04344769738589882, 0.035357846886586115, 0.07343738281869898, 0.08789345168949861]"
8,20,200,0.05,0.16015514096047273,"[0.0023150564251978078, 0.10580228808233426, 0.0, 0.026084520301207205, 0.07976741694461181, 0.0004886143319505305, 0.008378816482138417, 0.10308478794022291, 0.04408998773711125, 0.07508700960895319, 0.03963207529948558, 0.01763057924034523, 0.005952005268156766, 0.009367203961260229, 0.0, 0.11684747924005764, 0.006632337644537511, 0.021027886403085467, 0.09166012031674128, 0.24615181477260298]"
9,20,200,0.1,0.1957157794189219,"[0.0, 0.09948380192807701, 0.0, 0.0, 0.02428805202200045, 0.044331979772600984, 0.0, 0.013249233595173942, 0.18836498610505575, 0.0, 0.013027216118952653, 0.0, 0.0, 0.05991430221829679, 0.3007514959408019, 0.038649570455489474, 0.010980427410078462, 0.0, 0.002106179137700442, 0.20485275529577224]"
10,50,50,0.01,0.1179761794592917,"[0.014009904416287335, 0.0618984395224844, 0.016435018167616593, 0.051854670816839976, 0.04089643936123105, 0.024386676809249105, 0.05428655220161264, 0.04076985284554868, 0.07163515031379838, 0.037320240766163595, 0.033133156137972, 0.056136263345974276, 0.05898294869196387, 0.04992980383745078, 0.05071662451529913, 0.08224967389090632, 0.061608969831764726, 0.04896874061292796, 0.05534124192105892, 0.0894396319938503]"
