combination_number,pop_size,gen_count,initial_mutation_rate,alpha,sharpe_ratio,best_portfolio_weights
1,20,50,0.01,0.1,0.19760604332467782,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.186178284115393, 0.0, 0.17266430723337012, 0.05444709205038537, 0.0, 0.017601021052397144, 0.07135107552017607, 0.23869678174965234, 0.0, 0.0, 0.0, 0.25906143827862593]"
2,20,50,0.01,0.3,0.1916626718690126,"[0.01218244442792377, 0.17097379188282674, 0.0, 0.012780812256156186, 0.0, 0.0, 0.026382469180780518, 0.0, 0.08868530744085368, 0.018396134436245496, 0.20736575142124025, 0.012429617645459981, 0.0, 0.0, 0.14064048889427833, 0.17987045220511702, 0.0, 0.0, 0.0, 0.13029273020911802]"
3,20,50,0.01,0.5,0.18429172290466792,"[0.0, 0.15326482496491994, 0.15326482496491994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15326482496491994, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15326482496491994, 0.08041105021048021, 0.0, 0.0, 0.15326482496491994, 0.15326482496491994]"
4,20,50,0.01,0.8,0.18079984927978077,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08817702396930656, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.34579931878010983, 0.0, 0.0, 0.2867567564447183, 0.2792669008058654]"
5,20,50,0.01,1.0,0.19680981171578088,"[0.0, 0.0, 0.0868863573275817, 0.0, 0.0, 0.0, 0.040948564668378575, 0.0, 0.0, 0.0, 0.03922403819146389, 0.0, 0.061342908215119944, 0.0, 0.22164242793246974, 0.22164242793246974, 0.0, 0.0, 0.10667084780004654, 0.22164242793246974]"
6,20,50,0.05,0.1,0.17853998614180222,"[0.0, 0.14688519813600073, 0.0, 0.14688519813600073, 0.0, 0.0, 0.0, 0.003304075265105498, 0.14688519813600073, 0.041631025793483996, 0.0, 0.0, 0.0, 0.0, 0.14614569037199518, 0.14688519813600073, 0.0, 0.0, 0.13893754042679554, 0.0824408755986169]"
7,20,50,0.05,0.3,0.17016210729039294,"[0.013062783152069088, 0.07128591755217714, 0.16361890053272302, 0.0, 0.0076908030326379865, 0.0, 0.0, 0.0, 0.0, 0.06206840331479997, 0.17100510137323793, 0.0, 0.0, 0.0, 0.17100510137323793, 0.17100510137323793, 0.0, 0.09716836542548134, 0.0, 0.07208952287039784]"
8,20,50,0.05,0.5,0.16959463312682668,"[0.0, 0.0, 0.16616945223876717, 0.0, 0.16616945223876717, 0.0, 0.0, 0.0, 0.0, 0.16616945223876717, 0.0, 0.010225341219452988, 0.0, 0.0, 0.16616945223876717, 0.1548198633122993, 0.0041075342744118755, 0.0, 0.0, 0.16616945223876717]"
9,20,50,0.05,0.8,0.17202212080531915,"[0.0, 0.11605907072055488, 0.0, 0.0, 0.0, 0.0, 0.11605907072055488, 0.0, 0.11605907072055488, 0.0, 0.11605907072055488, 0.0, 0.07152743423556088, 0.0, 0.11605907072055488, 0.11605907072055488, 0.0, 0.11605907072055488, 0.0, 0.11605907072055488]"
10,20,50,0.05,1.0,0.19763909810214533,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04368077787945202, 0.12084696081012984, 0.0, 0.2784907537701394, 0.2784907537701394, 0.0, 0.0, 0.0, 0.2784907537701394]"
