combination_number,pop_size_mu,pop_size_lambda,gen_count,sharpe_ratio,best_portfolio_weights
1,10,20,50,0.2141898803255137,"[0.0, 0.0, 0.0, 0.0, 0.014085129141067361, 0.0, 0.0, 0.0, 0.30021177771117524, 0.0, 0.03596307121630826, 0.0, 0.0, 0.001364125188228495, 0.10370755105753392, 0.3158340396884409, 0.0, 0.0, 0.021742665073737327, 0.2070916409235084]"
2,10,20,100,0.2148053218335452,"[0.0, 0.0024766945517822434, 0.0, 0.002127160346190072, 0.0, 0.0017598742540371759, 0.005355058570867598, 0.000922279413250713, 0.18266131240791458, 0.002151091792487581, 0.006439524300112739, 0.0, 0.0, 0.0027447234731013894, 0.0740099396697073, 0.4015190922159518, 0.0010392020663111306, 0.008464701576232303, 0.0025450796431164655, 0.3057842657189371]"
3,10,20,200,0.2487359726715996,"[0.0, 0.0, 0.0, 0.0, 0.0008264145893246012, 0.0007713878497327936, 0.0, 0.0006885671408357095, 0.004275031964242305, 0.0, 0.00034837971254575553, 0.00023105310307716418, 0.0, 1.473967362030487e-05, 0.8686578427554524, 0.02793411657638767, 8.463782073773915e-05, 0.0, 0.002799885388266451, 0.09336794342577687]"
4,10,100,50,0.24583604613965881,"[0.0, 0.0, 0.0023795427210454747, 0.0028629421069976905, 0.0, 0.00480092888148313, 0.00335215093794673, 0.0, 0.0039474269870890194, 0.0, 0.0012935968994782188, 0.0002096080667670593, 0.00016875146340861066, 0.0, 0.84409293090939, 0.04264845636289224, 0.0, 0.0015216431458056818, 0.03044996722109427, 0.06227205429660173]"
5,10,100,100,0.24865823205239168,"[1.60322486011513e-07, 0.00010939351540960592, 0.0, 0.0, 5.915067326509701e-06, 0.00038455525772128574, 9.03786300517189e-06, 7.847203428790075e-06, 0.0, 4.976227769661869e-06, 0.0, 0.0022666540799779326, 0.0, 0.0, 0.8834900199673216, 0.022638358045310135, 0.0, 0.0006197354547354107, 0.0009572241881353412, 0.08950612280737248]"
6,10,100,200,0.24916981036037691,"[1.0475088891656208e-05, 0.0, 0.0, 0.0, 0.00015319642798579457, 0.0, 4.251252554467089e-05, 1.0253930047779344e-05, 0.0003332360639937178, 0.0, 0.0, 0.0, 0.0001043989434193937, 0.0, 0.87189153057012, 0.028679361290623432, 0.0, 7.043438180619946e-05, 0.0007940091385435153, 0.0979105916390237]"
7,10,200,50,0.24256524508754268,"[0.0, 0.0, 0.003383887901747316, 0.0022084220991453155, 0.0, 0.0, 0.013497961661579422, 0.0, 0.07667610906725009, 0.004807707971006244, 0.004151805698412625, 0.0, 0.0, 0.0, 0.7626310765783199, 0.07047304758729199, 0.0, 0.0022764442784088757, 0.0, 0.05989353715683834]"
8,10,200,100,0.24911813375275016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.1028882803097825e-05, 0.005933201136219867, 0.0, 0.0, 1.4105777070593102e-05, 0.0, 0.0, 0.9005969020709271, 0.009554100723899431, 1.1711422435122978e-05, 0.0005752212460477036, 0.0010714897663151842, 0.08223223897428175]"
9,10,200,200,0.24897336561202854,"[0.0, 0.0, 0.0, 0.0, 0.0, 1.2217843836994092e-05, 0.00022454378240069873, 0.00017871479042145464, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8707935925304853, 0.0462080991417037, 0.0, 0.0001769029453076139, 0.008898319582207853, 0.0735076093836365]"
10,50,20,50,0.20566392732706926,"[0.0, 0.0, 0.0, 0.0, 0.03616722966101026, 0.02009315047005177, 0.0, 0.0, 0.02108782471410981, 0.0, 0.03166820707102958, 0.000612805615580479, 0.0, 0.0, 0.0, 0.3936031117479562, 0.0, 0.03310585258503691, 0.0, 0.4636618181352249]"
11,50,20,100,0.21804580165085513,"[0.0, 0.0, 0.0, 0.023932240303386643, 0.0, 0.0, 0.04668833508194762, 0.0028094278242536356, 0.02293854710739765, 0.024619213358880922, 0.03150628466837773, 0.0, 0.021275609460174566, 0.01553885969973975, 0.5379353193497213, 0.17913856466160402, 0.0, 0.006243515385735673, 0.0, 0.08737408309878046]"
12,50,20,200,0.2340265570623946,"[0.013700424134603572, 0.0, 0.005371264354770564, 0.0004310089174620206, 0.0, 0.0, 0.011297182429145026, 0.0, 0.136895083599868, 0.011035679706435998, 0.0, 0.0, 0.0, 0.0, 0.6360031603226355, 0.05727656278716601, 0.0, 0.011956027713519585, 0.0, 0.11603360603439368]"
13,50,100,50,0.24375376176219812,"[0.008418147292575982, 0.0021955728396785483, 0.0, 0.0, 0.0, 0.00126779571710381, 0.0006824280198505157, 0.0, 0.010964823329184316, 0.0, 0.008147640941658062, 0.0, 0.0, 0.0007938188818204541, 0.8154797748758045, 0.08601858719798026, 0.0, 0.00016204686814848499, 0.0, 0.06586936403619485]"
14,50,100,100,0.24645547335992748,"[0.0, 0.04325197070353813, 0.000125816205785369, 0.0002032568079108603, 0.000924882023969022, 0.0005349778123566947, 0.0, 0.0, 0.005512058640148372, 0.00040058347619068523, 0.0, 0.00028944054666977544, 0.0, 5.917184423294023e-06, 0.8294258545518784, 0.022828440889879047, 0.0003291739374991243, 0.0, 0.0032936864912458032, 0.09287394072850524]"
15,50,100,200,0.24922130449227778,"[3.6208122552090827e-06, 4.979306313459598e-06, 0.00013856278153173308, 0.0, 0.00033141609228589807, 7.038997172999228e-05, 1.0484237138979448e-05, 0.0, 5.975029714242665e-06, 0.0, 0.0, 7.356291845699867e-07, 7.067786361824142e-06, 2.841493036132347e-07, 0.8946562612409964, 0.018415506016270088, 0.0, 8.294656166676502e-06, 0.000894434948279129, 0.08545198734246834]"
16,50,200,50,0.24669267081964338,"[0.0, 0.0001778601162062163, 0.0, 0.0, 0.0, 0.0008290926655244775, 0.0, 0.0, 0.011975870758085322, 0.0, 0.0, 0.0005759663260799194, 0.0, 0.0, 0.8175087755799932, 0.1034474790849373, 0.0, 0.005678655420112108, 7.870176846902609e-05, 0.05972759828059246]"
17,50,200,100,0.24918773765524765,"[1.9916129381111243e-05, 0.00010692144922149166, 0.0, 1.7473534594213185e-06, 2.747220976288588e-05, 0.0, 0.0, 0.0002766134370490199, 0.002271615289081318, 0.0, 9.213303674672495e-06, 0.0, 0.0, 7.44570570170317e-06, 0.8814979760432485, 0.028276898833238473, 0.0, 0.0, 0.0025705131340883996, 0.08493366711209309]"
18,50,200,200,0.2493028731509953,"[0.0, 0.0, 1.7172049329605012e-09, 1.315607673719885e-09, 0.0, 0.0, 1.0352501028974855e-08, 0.0, 0.0, 3.280230669885407e-06, 2.5633764697462947e-08, 2.2534553894455146e-07, 0.0, 0.0, 0.8871530343757944, 0.02426617682303461, 1.775655765502909e-08, 0.0, 0.0028139396930528682, 0.08576328675627315]"
19,100,20,50,0.1966831000883105,"[0.0, 0.02518037758437083, 0.0, 0.009583735917958467, 0.054233801058643644, 0.03371140997567383, 0.0, 0.0, 0.03438215553277123, 0.0, 0.0, 0.0, 0.016099737311824073, 0.006944932946828311, 0.053150908433753606, 0.3738121924023448, 0.06967638284699067, 0.0, 0.010697809536348664, 0.31252655645249183]"
20,100,20,100,0.210929991529327,"[0.016438152211454143, 0.07920384587711253, 0.0, 0.05481240044937865, 0.019169675268268654, 0.03187174940394054, 0.0, 0.0, 0.12067234057213222, 0.0, 0.0, 0.00035707128681014886, 0.0, 0.0036855417764543644, 0.3956152801461904, 0.11003121604103949, 0.013481904146871698, 0.0, 0.01966835951859, 0.13499246330175707]"
