,AAL,AAPL,AMZN,AT&T,BAC,BBD,BCS,EVA,Ford,GOOGL,INND,INTC,MARA,META,MSFT,NVDA,RIG,Samsung,SWN,TSLA
AAL,0.016589394431811993,0.00520564070879035,0.003750815075596618,0.004101720371058508,0.008157433011224588,0.005705796522515778,0.008840918458468778,0.004829691051190611,0.008598292645974434,0.003996234363830594,0.08942767220921935,0.006622642213884263,0.02030956866933013,0.004040205100450604,0.003623331554610703,0.005259208758739235,0.019964605514299,0.004978486877920777,0.008612143042506666,0.009495173996940356
AAPL,0.00520564070879035,0.009387587310378477,0.006401783021287217,0.0020852963403349867,0.004611917778910284,0.0017284753378293187,0.004078925119215497,0.005403855647509775,0.006065038956178132,0.004536966541866483,0.008233636061406252,0.003411783698265417,0.01822696666657039,0.005704515426949567,0.004354857656081152,0.009841114389215288,0.009495156818422598,0.0038061858428754492,0.005763381084427945,0.013831621042514777
AMZN,0.003750815075596618,0.006401783021287217,0.009855549377807955,0.00046261940426303467,0.004076747525306924,0.0008201764489681947,0.0024865860622495387,0.0049772989655086875,0.004496917413918113,0.005040206232478424,0.007797977715525693,0.0029811835699874094,0.017548800513254706,0.006324774866430163,0.005138884208568283,0.010291883729708193,0.006563068340031643,0.0031971912865363587,0.005860976100741291,0.012809445825431422
AT&T,0.004101720371058508,0.0020852963403349867,0.00046261940426303467,0.004011496629128066,0.0031704300558800017,0.0022553223819487328,0.003993126460322621,0.0013294205382622464,0.002295325403014513,0.0018668796235563588,-0.00320559432188541,0.002058249576281995,0.0009882548668561015,0.0018044384966442424,0.0012550432159841559,0.0011481859843123189,0.007538487484472612,0.0019652338635515664,0.0034966566377044243,0.0024039537766416363
BAC,0.008157433011224588,0.004611917778910284,0.004076747525306924,0.0031704300558800017,0.008112808125852649,0.00492067707665589,0.008441648258137693,0.0043734920372850055,0.0074127776115025966,0.004565991406134955,0.010293931646453619,0.0037419740554589186,0.02057092190103484,0.004527249101448462,0.00336668849139376,0.006045654568839181,0.014424422284225717,0.004081805263992645,0.006618468913136624,0.008612607562296785
BBD,0.005705796522515778,0.0017284753378293187,0.0008201764489681947,0.0022553223819487328,0.00492067707665589,0.019429973343373118,0.006774313563897286,0.0016352083302032963,0.004279680658889061,0.0015547009238069736,-0.046311955948905685,0.001042744197696053,0.014842829781453811,0.0023914935735603253,0.000498556282346753,-0.0007623284164158228,0.017845628513728715,0.002992679024150001,0.0037827962068045138,0.003585015174845252
BCS,0.008840918458468778,0.004078925119215497,0.0024865860622495387,0.003993126460322621,0.008441648258137693,0.006774313563897286,0.013007186634913055,0.00453851669139542,0.007931929730206969,0.004893377138328012,-0.003964662331070487,0.004598345454552618,0.01703814210167625,0.005863055392411679,0.0029492084590691295,0.004855116760697479,0.017706000291481123,0.0038852956041453613,0.009377400657886363,0.00785359483325458
EVA,0.004829691051190611,0.005403855647509775,0.0049772989655086875,0.0013294205382622464,0.0043734920372850055,0.0016352083302032963,0.00453851669139542,0.008055089494462658,0.00659123370483272,0.0041713518943566775,0.0598219569018313,0.0027438070114628953,0.016183046581041492,0.005033380609267419,0.003783885066235119,0.0070640454961913585,0.008233587313835982,0.0029265561116931993,0.008096232056048406,0.01091154016699957
Ford,0.008598292645974434,0.006065038956178132,0.004496917413918113,0.002295325403014513,0.0074127776115025966,0.004279680658889061,0.007931929730206969,0.00659123370483272,0.015465784715093375,0.0049667159292889895,0.12892079444008933,0.004411825494994371,0.03143688471159434,0.005439006346873096,0.004097478414019218,0.007405581148463993,0.017803921515234012,0.004703303745013862,0.009359869610474142,0.01024226627498882
GOOGL,0.003996234363830594,0.004536966541866483,0.005040206232478424,0.0018668796235563588,0.004565991406134955,0.0015547009238069736,0.004893377138328012,0.0041713518943566775,0.0049667159292889895,0.005823246550456969,0.03601847762509823,0.0029461789581339197,0.012173514216011911,0.005373557280167055,0.0039315385724491975,0.006861888807241257,0.007024942659893759,0.0021099350142314887,0.004298126549684659,0.009307219609665456
INND,0.08942767220921935,0.008233636061406252,0.007797977715525693,-0.00320559432188541,0.010293931646453619,-0.046311955948905685,-0.003964662331070487,0.0598219569018313,0.12892079444008933,0.03601847762509823,13.486576483071284,0.06579024181873537,0.5032959365125583,-0.010691775662545887,0.02900320129561312,0.00016170625534195547,0.22044109920669416,-0.0018108597536676313,0.12411580093178821,0.03153219711140995
INTC,0.006622642213884263,0.003411783698265417,0.0029811835699874094,0.002058249576281995,0.0037419740554589186,0.001042744197696053,0.004598345454552618,0.0027438070114628953,0.004411825494994371,0.0029461789581339197,0.06579024181873537,0.006790480188866354,0.007040821244171671,0.0032229291652452288,0.0028132103714501888,0.005309741720943366,0.008462742924637225,0.002856272638000731,0.0062601153691692,0.006635231006051294
MARA,0.02030956866933013,0.01822696666657039,0.017548800513254706,0.0009882548668561015,0.02057092190103484,0.014842829781453811,0.01703814210167625,0.016183046581041492,0.03143688471159434,0.012173514216011911,0.5032959365125583,0.007040821244171671,0.23287076977888266,0.0072351360684237325,0.012576238000744932,0.020485390957543752,0.07946986030837308,0.016491924446010314,0.011634328312653791,0.04350747231833949
META,0.004040205100450604,0.005704515426949567,0.006324774866430163,0.0018044384966442424,0.004527249101448462,0.0023914935735603253,0.005863055392411679,0.005033380609267419,0.005439006346873096,0.005373557280167055,-0.010691775662545887,0.0032229291652452288,0.0072351360684237325,0.013324786972041026,0.004585465841317681,0.007929559768545062,0.006901628822553475,0.0027272457301917765,0.006692777284724462,0.009806218677355073
MSFT,0.003623331554610703,0.004354857656081152,0.005138884208568283,0.0012550432159841559,0.00336668849139376,0.000498556282346753,0.0029492084590691295,0.003783885066235119,0.004097478414019218,0.0039315385724491975,0.02900320129561312,0.0028132103714501888,0.012576238000744932,0.004585465841317681,0.004384436978683941,0.006661227735560973,0.006281761434837031,0.0020964990849242178,0.0023491936964388136,0.008274325577716686
NVDA,0.005259208758739235,0.009841114389215288,0.010291883729708193,0.0011481859843123189,0.006045654568839181,-0.0007623284164158228,0.004855116760697479,0.0070640454961913585,0.007405581148463993,0.006861888807241257,0.00016170625534195547,0.005309741720943366,0.020485390957543752,0.007929559768545062,0.006661227735560973,0.020962091740679128,0.009595019135645574,0.004249765966041831,0.00591846039741603,0.014958391892952188
RIG,0.019964605514299,0.009495156818422598,0.006563068340031643,0.007538487484472612,0.014424422284225717,0.017845628513728715,0.017706000291481123,0.008233587313835982,0.017803921515234012,0.007024942659893759,0.22044109920669416,0.008462742924637225,0.07946986030837308,0.006901628822553475,0.006281761434837031,0.009595019135645574,0.08632003005565585,0.01136792084714683,0.021085837894520155,0.01641970187322461
Samsung,0.004978486877920777,0.0038061858428754492,0.0031971912865363587,0.0019652338635515664,0.004081805263992645,0.002992679024150001,0.0038852956041453613,0.0029265561116931993,0.004703303745013862,0.0021099350142314887,-0.0018108597536676313,0.002856272638000731,0.016491924446010314,0.0027272457301917765,0.0020964990849242178,0.004249765966041831,0.01136792084714683,0.005510752163721756,0.005036138359311511,0.005939341138083063
SWN,0.008612143042506666,0.005763381084427945,0.005860976100741291,0.0034966566377044243,0.006618468913136624,0.0037827962068045138,0.009377400657886363,0.008096232056048406,0.009359869610474142,0.004298126549684659,0.12411580093178821,0.0062601153691692,0.011634328312653791,0.006692777284724462,0.0023491936964388136,0.00591846039741603,0.021085837894520155,0.005036138359311511,0.041498984709825375,0.010454093784672026
TSLA,0.009495173996940356,0.013831621042514777,0.012809445825431422,0.0024039537766416363,0.008612607562296785,0.003585015174845252,0.00785359483325458,0.01091154016699957,0.01024226627498882,0.009307219609665456,0.03153219711140995,0.006635231006051294,0.04350747231833949,0.009806218677355073,0.008274325577716686,0.014958391892952188,0.01641970187322461,0.005939341138083063,0.010454093784672026,0.04531499625692393
