Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,16.400000,17.280001,15.560000,17.280001,17.280001,504625
2018-01-03,17.320000,18.520000,16.400000,16.760000,16.760000,598675
2018-01-04,16.639999,17.040001,16.040001,16.280001,16.280001,302875
2018-01-05,16.799999,17.080000,15.680000,15.720000,15.720000,340325
2018-01-08,16.000000,16.080000,14.280000,15.560000,15.560000,429775
2018-01-09,15.760000,15.760000,14.800000,15.280000,15.280000,204900
2018-01-10,15.200000,17.160000,14.400000,15.920000,15.920000,737900
2018-01-11,16.559999,16.559999,15.280000,15.360000,15.360000,334425
2018-01-12,20.000000,20.240000,16.520000,16.680000,16.680000,2714350
2018-01-16,15.840000,15.880000,13.880000,14.360000,14.360000,636875
2018-01-17,14.160000,14.640000,12.280000,13.880000,13.880000,554100
2018-01-18,16.080000,16.799999,14.920000,14.920000,14.920000,2006100
2018-01-19,15.480000,15.480000,14.000000,14.000000,14.000000,341475
2018-01-22,14.000000,14.240000,13.040000,13.400000,13.400000,317700
2018-01-23,13.240000,14.000000,13.000000,13.600000,13.600000,229325
2018-01-24,13.600000,14.360000,13.200000,14.040000,14.040000,396225
2018-01-25,13.680000,14.360000,13.680000,14.000000,14.000000,183200
2018-01-26,14.000000,14.080000,13.200000,13.200000,13.200000,214800
2018-01-29,13.040000,13.280000,12.400000,12.520000,12.520000,206700
2018-01-30,12.400000,12.720000,11.480000,11.600000,11.600000,211775
2018-01-31,11.760000,14.400000,11.760000,12.840000,12.840000,900600
2018-02-01,12.440000,13.200000,12.200000,12.280000,12.280000,191700
2018-02-02,12.040000,12.240000,11.040000,11.040000,11.040000,208800
2018-02-05,10.800000,11.000000,9.400000,9.480000,9.480000,180225
2018-02-06,9.200000,10.560000,9.000000,10.440000,10.440000,211375
2018-02-07,11.360000,11.560000,10.520000,10.600000,10.600000,211650
2018-02-08,11.400000,11.400000,10.120000,10.240000,10.240000,74700
2018-02-09,10.200000,10.200000,9.240000,9.840000,9.840000,120250
2018-02-12,10.120000,10.560000,9.920000,10.120000,10.120000,108750
2018-02-13,10.000000,10.120000,9.600000,9.840000,9.840000,58200
2018-02-14,9.720000,11.080000,9.720000,10.600000,10.600000,163675
2018-02-15,11.600000,12.000000,11.000000,11.200000,11.200000,381875
2018-02-16,11.800000,11.800000,10.600000,10.600000,10.600000,189575
2018-02-20,11.400000,11.400000,10.600000,10.720000,10.720000,132725
2018-02-21,10.800000,10.800000,10.000000,10.040000,10.040000,86800
2018-02-22,10.000000,10.400000,9.600000,9.720000,9.720000,74200
2018-02-23,9.680000,9.920000,9.400000,9.440000,9.440000,65675
2018-02-26,9.840000,10.320000,8.880000,9.920000,9.920000,129050
