Date,Open,High,Low,Close,Adj Close,Volume
2018-01-02,10.770000,10.980000,10.590000,10.940000,10.940000,10801500
2018-01-03,11.000000,11.290000,10.700000,11.170000,11.170000,14594600
2018-01-04,11.300000,11.940000,11.210000,11.790000,11.790000,19852800
2018-01-05,11.710000,11.720000,11.310000,11.610000,11.610000,14426900
2018-01-08,11.590000,11.930000,11.500000,11.860000,11.860000,9990300
2018-01-09,11.870000,12.110000,11.630000,12.060000,12.060000,15707600
2018-01-10,12.090000,12.140000,11.760000,11.830000,11.830000,12267200
2018-01-11,11.900000,12.400000,11.770000,12.120000,12.120000,16217100
2018-01-12,12.150000,12.340000,12.010000,12.200000,12.200000,12020400
2018-01-16,12.200000,12.210000,11.450000,11.470000,11.470000,17406200
2018-01-17,11.550000,11.730000,11.450000,11.610000,11.610000,10752900
2018-01-18,11.680000,11.740000,11.300000,11.320000,11.320000,11037200
2018-01-19,11.290000,11.650000,11.100000,11.600000,11.600000,12901200
2018-01-22,11.610000,11.990000,11.590000,11.930000,11.930000,12815700
2018-01-23,11.920000,11.950000,11.560000,11.720000,11.720000,10676500
2018-01-24,11.780000,11.800000,11.370000,11.500000,11.500000,12223700
2018-01-25,11.500000,11.580000,11.160000,11.320000,11.320000,17852700
2018-01-26,11.360000,11.380000,11.150000,11.160000,11.160000,8954400
2018-01-29,11.150000,11.250000,10.900000,11.010000,11.010000,12048500
2018-01-30,10.860000,11.010000,10.710000,10.990000,10.990000,19851800
2018-01-31,10.980000,11.010000,10.690000,10.790000,10.790000,11763100
2018-02-01,10.850000,11.460000,10.830000,11.020000,11.020000,17999100
2018-02-02,10.910000,10.950000,10.300000,10.320000,10.320000,13795900
2018-02-05,10.140000,10.400000,9.730000,9.790000,9.790000,18545700
2018-02-06,9.690000,10.180000,9.610000,10.000000,10.000000,23050600
2018-02-07,9.990000,10.290000,9.640000,9.640000,9.640000,16616300
2018-02-08,9.870000,9.910000,9.170000,9.180000,9.180000,23854100
2018-02-09,9.270000,9.420000,8.700000,9.360000,9.360000,24149200
2018-02-12,9.390000,9.660000,9.300000,9.510000,9.510000,16799700
2018-02-13,9.450000,9.500000,9.180000,9.220000,9.220000,14173100
2018-02-14,9.030000,9.400000,8.950000,9.300000,9.300000,14841200
2018-02-15,9.370000,9.390000,9.030000,9.230000,9.230000,14765300
2018-02-16,9.140000,9.320000,9.040000,9.090000,9.090000,15652500
2018-02-20,9.130000,9.410000,9.020000,9.090000,9.090000,13645200
2018-02-21,9.030000,9.400000,8.920000,9.010000,9.010000,16599100
2018-02-22,9.160000,9.530000,9.160000,9.360000,9.360000,13456400
2018-02-23,9.500000,9.720000,9.450000,9.700000,9.700000,12037700
2018-02-26,9.750000,9.810000,9.460000,9.670000,9.670000,11028300
2018-02-27,9.720000,10.050000,9.610000,9.620000,9.620000,14823400
2018-02-28,9.690000,9.710000,9.060000,9.110000,9.110000,15638600
2018-03-01,9.080000,9.430000,9.070000,9.360000,9.360000,16781900
2018-03-02,9.200000,9.490000,9.090000,9.480000,9.480000,10694500
2018-03-05,9.340000,9.790000,9.340000,9.650000,9.650000,10537600
2018-03-06,9.690000,9.870000,9.460000,9.540000,9.540000,15568800
2018-03-07,9.410000,9.600000,9.240000,9.390000,9.390000,10199000
2018-03-08,9.400000,9.480000,9.230000,9.440000,9.440000,7481300
2018-03-09,9.500000,9.800000,9.500000,9.580000,9.580000,12538800
2018-03-12,9.560000,10.000000,9.560000,9.900000,9.900000,14268100
2018-03-13,9.940000,10.100000,9.750000,9.790000,9.790000,13777800
2018-03-14,9.820000,9.900000,9.690000,9.780000,9.780000,10215400
2018-03-15,9.800000,9.870000,9.440000,9.540000,9.540000,14606100
2018-03-16,9.680000,9.970000,9.630000,9.880000,9.880000,19792900
2018-03-19,9.810000,9.890000,9.450000,9.640000,9.640000,12836900
2018-03-20,9.660000,9.800000,9.600000,9.690000,9.690000,12638100
2018-03-21,9.750000,10.470000,9.720000,10.410000,10.410000,24577400
2018-03-22,10.210000,10.300000,10.020000,10.030000,10.030000,13866600
2018-03-23,10.080000,10.470000,10.050000,10.180000,10.180000,13068700
2018-03-26,10.280000,10.300000,9.770000,10.060000,10.060000,10322400
2018-03-27,10.090000,10.190000,9.780000,9.850000,9.850000,9368400
2018-03-28,9.830000,9.860000,9.600000,9.760000,9.760000,11083400
2018-03-29,9.780000,9.960000,9.750000,9.900000,9.900000,10635100
2018-04-02,9.820000,9.870000,9.420000,9.630000,9.630000,11909500
2018-04-03,9.680000,9.830000,9.450000,9.810000,9.810000,11549000
2018-04-04,9.600000,9.700000,9.360000,9.590000,9.590000,12852300
2018-04-05,9.640000,10.110000,9.620000,9.980000,9.980000,12822200
2018-04-06,9.900000,10.060000,9.600000,9.720000,9.720000,12565900
2018-04-09,9.790000,9.920000,9.650000,9.900000,9.900000,9079900
2018-04-10,10.100000,10.650000,10.090000,10.510000,10.510000,21458500
2018-04-11,10.510000,11.300000,10.460000,11.180000,11.180000,31727000
2018-04-12,11.030000,11.220000,10.720000,11.100000,11.100000,22114300
2018-04-13,11.090000,11.740000,11.060000,11.590000,11.590000,23828100
2018-04-16,11.490000,11.880000,11.360000,11.820000,11.820000,21069700
2018-04-17,11.770000,12.120000,11.670000,12.010000,12.010000,22777600
2018-04-18,12.190000,12.680000,12.160000,12.430000,12.430000,26143200
2018-04-19,12.510000,12.750000,12.270000,12.540000,12.540000,23426800
2018-04-20,12.450000,12.460000,12.020000,12.340000,12.340000,15045100
